,V 1.0,,,,,,,,,,,,,
ItemIndex,id,english_name,item_name,ItemCategory,ShopPrice,SellPrice,UpgradeLevel,IconName,ItemSize,StackSize,DropCap,IsAutoPickup,english_desc,item_desc
10,1,Cabbage,キャベツ,1,2800,680,6,Icon_Item_Crops_005,1,9,0,1,"A well-balanced vegetable that can be eaten raw,
fried, or boiled. Helps with digestion after a big meal.","生、焼、煮と、バランスの良い野菜。
食前でも食中でも食後でも活躍する。
胃の調子を整える効果がある。
食べすぎにはキャベツ。"
13,2,King Cabbage,キングキャベツ,1,12000,3400,10,Icon_Item_Crops_006,3,9,151,1,"A well-balanced vegetable that can be eaten raw,
fried, or boiled. Helps with digestion after a big meal.","生、焼、煮と、バランスの良い野菜。
食前でも食中でも食後でも活躍する。
胃の調子を整える効果がある。
食べすぎにはキャベツ。"
21,3,Pink Turnip,サクラカブ,1,700,200,3,Icon_Item_Crops_010,1,9,12,1,"A pretty pink-colored turnip born from the efforts of a
turnip-obsessed girl. A staple of modern farming that
grows easily.","キレイなピンク色のカブ。
地方の違いで白いカブしか育たなかったが
ある人物の努力により改良に成功し、
その育てやすさから、栽培する農家が増え続けた。今では定番の野菜。"
4,4,Colossal Pink Turnip,おおきなサクラカブ,1,3200,1000,7,Icon_Item_Crops_011,3,9,151,1,"A pretty pink-colored turnip born from the efforts of a
turnip-obsessed girl. A staple of modern farming that
grows easily.","キレイなピンク色のカブ。
地方の違いで白いカブしか育たなかったが
ある人物の努力により改良に成功し、
その育てやすさから、栽培する農家が増え続けた。今では定番の野菜。"
6,5,Pink Melon,オトメロン,1,5000,850,7,Icon_Item_Crops_015,1,9,0,1,"A pink melon overflowing with cuteness. Attracts
young girls with its adorable shape and taste. Truly
heinous.","乙女パワーを十分にあびた、ピンク色の
かわいいかわいいメロン。
もちろん味も乙女の保証付き。
オトメ星雲より乙女パワーがふりそそぐ！"
12,6,Conqueror Melon,キングオトメロン,1,25000,4250,11,Icon_Item_Crops_016,3,9,151,1,"A pink melon overflowing with cuteness. Attracts
young girls with its adorable shape and taste. Truly
heinous.","乙女パワーを十分にあびた、ピンク色の
かわいいかわいいメロン。
もちろん味も乙女の保証付き。
オトメ星雲より乙女パワーがふりそそぐ！"
29,7,Onion,タマネギ,1,6700,800,6,Icon_Item_Crops_020,1,9,0,1,"When raw it has a sharp taste, but turns mild when
cooked. Many cry chopping onions, but those tears
aren't for you!","生では、ツンとした辛味、加熱すれば
ほどよく甘い忙しいお野菜。
辛かったり甘かったり、切る時涙したり、
別にあんたのためじゃないんだからね。"
32,8,Ultra Onion,超タマネギ,1,16000,4000,10,Icon_Item_Crops_021,3,9,151,1,"When raw it has a sharp taste, but turns mild when
cooked. Many cry chopping onions, but those tears
aren't for you!","生では、ツンとした辛味、加熱すれば
ほどよく甘い忙しいお野菜。
辛かったり甘かったり、切る時涙したり、
別にあんたのためじゃないんだからね。"
9,9,Pumpkin,カボチャ,1,420,110,3,Icon_Item_Crops_025,1,9,12,1,"A nutritious seasonal vegetable. Wear it during
autumn festivals by scooping out the inside.","黄色い果実に栄養がたくさん
つまった野菜。
秋のお祭りでは中身をくり抜き、
お化けへの変身グッズになる。"
42,10,Doom Pumpkin,びっくりカボチャ,1,1560,550,7,Icon_Item_Crops_026,3,9,151,1,"A nutritious seasonal vegetable. Wear it during
autumn festivals by scooping out the inside.","黄色い果実に栄養がたくさん
つまった野菜。
秋のお祭りでは中身をくり抜き、
お化けへの変身グッズになる。"
11,11,Cucumber,キュウリ,1,250,68,3,Icon_Item_Crops_030,1,9,0,1,"A green and watery vegetable with a crunchy
texture. Have a bite and feel refreshed!","カリっと歯ごたえナイスガイ。
水分を多く含むため、冷静になろうよ、
という意味で「キューリにいこうぜ」と言う。
キューリに行こうぜ？"
7,12,Kaiser Cucumber,カイザーキュウリ,1,980,350,7,Icon_Item_Crops_031,3,9,151,1,"A green and watery vegetable with a crunchy
texture. Have a bite and feel refreshed!","カリっと歯ごたえナイスガイ。
水分を多く含むため、冷静になろうよ、
という意味で「キューリにいこうぜ」と言う。
キューリに行こうぜ？"
33,13,Corn,トウモロコシ,1,3000,1000,4,Icon_Item_Crops_035,1,9,12,1,"A vegetable studded with yellow kernels. Hard to
decide which side to eat from. Best lathered with
butter.","黄色く小さい実がぎっしりとつまった野菜。
一粒一粒もトウモロコシで、しばしば
どこから食べられるべきか、ケンカする。"
25,14,Gigant Corn,大トウモロコシ,1,20000,7500,8,Icon_Item_Crops_036,3,9,151,1,"A vegetable studded with yellow kernels. Hard to
decide which side to eat from. Best lathered with
butter.","黄色く小さい実がぎっしりとつまった野菜。
一粒一粒もトウモロコシで、しばしば
どこから食べられるべきか、ケンカする。"
34,15,Tomato,トマト,1,1800,540,7,Icon_Item_Crops_040,1,9,0,1,"A brilliant tomato, ruddy red like the summer sun.
Popular for its high nutrition and health benefits.","輝く赤が夏の太陽を思わせる。
栄養価がとても高く、健康にも良い。
生食する場合は、主に冷やして食べる。
ぜひ冬に食べてみよう、何もないけど。"
